2024-09-20 20:41:31 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:42:29 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
2024-09-20 20:42:30 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
2024-09-20 20:42:31 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
2024-09-20 20:42:32 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
2024-09-20 20:54:38 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': 'N/A'}
2024-09-20 20:54:39 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': 'N/A'}
2024-09-20 20:54:40 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': 'N/A'}
2024-09-20 20:54:41 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': 'N/A'}
2024-09-20 20:54:42 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': 'N/A'}
2024-09-20 20:54:43 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': 'N/A'}
